create_time,sum_open_interest,sum_open_interest_value,ts
2026-08-09 09:25:00,321542268.0,54491768.15796,1786267500000
2026-08-09 09:30:00,319056501.0,54536681.868646115,1786267800000
2026-08-09 09:35:00,319614398.0,53765556.40456785,1786268100000
2026-08-09 09:40:00,320077990.0,53878728.0567,1786268400000
2026-08-09 09:45:00,318053379.0,50609836.82504988,1786268700000
2026-08-09 09:50:00,322000147.0,49446342.57332,1786269000000
2026-08-09 09:55:00,323696858.0,50703875.83712,1786269300000
2026-08-09 10:00:00,325614403.0,47109006.15486384,1786269600000
2026-08-09 10:05:00,327340562.0,48187761.57774694,1786269900000
2026-08-09 10:10:00,328948187.0,45486955.29836,1786270200000
2026-08-09 10:15:00,331429426.0,45873388.796140976,1786270500000
2026-08-09 10:20:00,330483824.0,50071475.28554864,1786270800000
2026-08-09 10:25:00,330645714.0,50171020.075903855,1786271100000
2026-08-09 10:30:00,330053362.0,51917321.23086036,1786271400000
2026-08-09 10:35:00,331268128.0,50570978.33532,1786271700000
2026-08-09 10:40:00,331626817.0,50996126.02533788,1786272000000
2026-08-09 10:45:00,331893039.0,51659151.52035,1786272300000
2026-08-09 10:50:00,330033219.0,52938849.78073959,1786272600000
2026-08-09 10:55:00,326285078.0,56748508.986651026,1786272900000
2026-08-09 11:00:00,328870061.0,55271089.672580205,1786273200000
2026-08-09 11:05:00,329855349.0,56293113.86034,1786273500000
2026-08-09 11:10:00,330109584.0,55876612.73958624,1786273800000
2026-08-09 11:15:00,328600074.0,53560004.761593,1786274100000
2026-08-09 11:20:00,329278685.0,55223328.26135,1786274400000
2026-08-09 11:25:00,330321216.0,56643482.11968,1786274700000
2026-08-09 11:30:00,328237118.0,57684391.11732,1786275000000
2026-08-09 11:35:00,328976847.0,59400059.49432,1786275300000
2026-08-09 11:40:00,328660620.0,59600877.968745,1786275600000
2026-08-09 11:45:00,328314106.0,56663731.55454,1786275900000
2026-08-09 11:50:00,327307844.0,56915560.99316,1786276200000
2026-08-09 11:55:00,328171169.0,56729804.66765019,1786276500000
2026-08-09 12:00:00,327978701.0,57479257.84592702,1786276800000
2026-08-09 12:05:00,327454988.0,55702768.76605196,1786277100000
2026-08-09 12:10:00,327913320.0,56853611.4216,1786277400000
2026-08-09 12:15:00,328611011.0,57259177.22547677,1786277700000
2026-08-09 12:20:00,328104041.0,59380269.34018,1786278000000
2026-08-09 12:25:00,328755678.0,58404080.69515854,1786278300000
2026-08-09 12:30:00,330285462.0,59684614.2389913,1786278600000
2026-08-09 12:35:00,330497445.0,58766758.71265725,1786278900000
2026-08-09 12:40:00,331254855.0,58614562.76533065,1786279200000
2026-08-09 12:45:00,332038381.0,58843841.88082,1786279500000
2026-08-09 12:50:00,325515136.0,50266047.30112,1786279800000
2026-08-09 12:55:00,326179902.0,52218597.1630428,1786280100000
2026-08-09 13:00:00,327213154.0,51939433.95419888,1786280400000
2026-08-09 13:05:00,327883589.0,53071437.72452929,1786280700000
2026-08-09 13:10:00,328415496.0,53722206.83568,1786281000000
2026-08-09 13:15:00,328517856.0,52395312.85344,1786281300000
2026-08-09 13:20:00,329699128.0,51192772.64953104,1786281600000
2026-08-09 13:25:00,330870404.0,51810189.23857424,1786281900000
2026-08-09 13:30:00,332374052.0,50705064.25109944,1786282200000
2026-08-09 13:35:00,332250230.0,49521541.273753904,1786282500000
2026-08-09 13:40:00,333385798.0,50541286.9768,1786282800000
2026-08-09 13:45:00,333418974.0,51103126.14498,1786283100000
2026-08-09 13:50:00,334101372.0,49911403.96308,1786283400000
2026-08-09 13:55:00,333738768.0,50976190.55548272,1786283700000
2026-08-09 14:00:00,331468181.0,52143259.55311,1786284000000
2026-08-09 14:05:00,331673158.0,53339677.26956,1786284300000
2026-08-09 14:10:00,332067626.0,55328642.9494436,1786284600000
2026-08-09 14:15:00,329108617.0,58460860.325660974,1786284900000
2026-08-09 14:20:00,327718635.0,57251095.3337238,1786285200000
2026-08-09 14:25:00,325988246.0,53372272.36187439,1786285500000
2026-08-09 14:30:00,321562312.0,53415275.16474288,1786285800000
2026-08-09 14:35:00,319009802.0,51661586.20087314,1786286100000
2026-08-09 14:40:00,317148602.0,47829707.13429932,1786286400000
2026-08-09 14:45:00,316758281.0,50087976.51561361,1786286700000
2026-08-09 14:50:00,315932048.0,50446784.65237088,1786287000000
2026-08-09 14:55:00,316230841.0,48535191.69669866,1786287300000
2026-08-09 15:00:00,318752462.0,47824229.63774568,1786287600000
2026-08-09 15:05:00,319613217.0,49332300.04395,1786287900000
2026-08-09 15:10:00,320619034.0,50281519.25512657,1786288200000
2026-08-09 15:15:00,320662383.0,48732194.28272199,1786288500000
2026-08-09 15:20:00,320179382.0,49833324.153511986,1786288800000
2026-08-09 15:25:00,321353425.0,48071808.36010675,1786289100000
2026-08-09 15:30:00,322749187.0,48786002.19134681,1786289400000
2026-08-09 15:35:00,321932681.0,48924499.07011401,1786289700000
2026-08-09 15:40:00,321200417.0,47387272.46875643,1786290000000
2026-08-09 15:45:00,321953409.0,48089044.20679623,1786290300000
2026-08-09 15:50:00,322883910.0,46864872.1075815,1786290600000
2026-08-09 15:55:00,323833730.0,47328296.40116271,1786290900000
2026-08-09 16:00:00,324981821.0,48380947.14173239,1786291200000
2026-08-09 16:05:00,324965493.0,47667257.87314159,1786291500000
2026-08-09 16:10:00,326421759.0,46527485.09903646,1786291800000
2026-08-09 16:15:00,327930581.0,46346429.01273,1786292100000
2026-08-09 16:20:00,326979538.0,47112549.18135042,1786292400000
2026-08-09 16:25:00,326336095.0,47489231.33119369,1786292700000
2026-08-09 16:30:00,326101505.0,47441246.9474,1786293000000
2026-08-09 16:35:00,324916719.0,47268884.28012,1786293300000
2026-08-09 16:40:00,324001645.0,48039821.1046435,1786293600000
2026-08-09 16:45:00,324567303.0,46951591.221696086,1786293900000
2026-08-09 16:50:00,325348513.0,47506042.92541618,1786294200000
2026-08-09 16:55:00,323464815.0,49341322.8801,1786294500000
2026-08-09 17:00:00,321958255.0,49938944.93305,1786294800000
2026-08-09 17:05:00,322171336.0,49741591.87430624,1786295100000
2026-08-09 17:10:00,321781355.0,49839549.227444895,1786295400000
2026-08-09 17:15:00,320755657.0,51099583.71667,1786295700000
2026-08-09 17:20:00,320483084.0,49742179.46764,1786296000000
2026-08-09 17:25:00,320481880.0,50995076.7456,1786296300000
2026-08-09 17:30:00,319983521.0,49200678.98830084,1786296600000
2026-08-09 17:35:00,319929773.0,50251510.21421012,1786296900000
2026-08-09 17:40:00,320055826.0,50015123.92902,1786297200000
2026-08-09 17:45:00,317686485.0,51470947.98791911,1786297500000
2026-08-09 17:50:00,319247095.0,50836907.4078,1786297800000
2026-08-09 17:55:00,319639356.0,52114956.32391444,1786298100000
2026-08-09 18:00:00,320619554.0,53794173.9782503,1786298400000
2026-08-09 18:05:00,321021836.0,55104158.97115132,1786298700000
2026-08-09 18:10:00,320627680.0,54730058.0481648,1786299000000
