ts,n_slots,p50_lamports,p99_lamports,mean_lamports,std_lamports,slot_p99_lamports,max_lamports
2026-08-10T19:00:19+00:00,150,0,0,0,0.0,0,0
2026-08-10T20:00:28+00:00,150,0,0,0,0.0,0,0
2026-08-10T22:00:53+00:00,150,0,0,0,0.0,0,0
2026-08-10T23:00:03+00:00,150,0,0,0,0.0,0,0
2026-08-11T00:00:14+00:00,150,0,0,0,0.0,0,0
2026-08-11T01:00:24+00:00,150,0,0,0,0.0,0,0
2026-08-11T02:00:48+00:00,150,0,0,0,0.0,0,0
2026-08-11T03:00:55+00:00,150,0,0,0,0.0,0,0
2026-08-11T04:00:25+00:00,150,0,0,0,0.0,0,0
2026-08-11T05:00:34+00:00,150,0,0,0,0.0,0,0
2026-08-11T06:00:44+00:00,150,0,0,0,0.0,0,0
2026-08-11T07:00:55+00:00,150,0,0,0,0.0,0,0
2026-08-11T08:00:06+00:00,150,0,0,0,0.0,0,0
2026-08-11T09:00:16+00:00,150,0,0,0,0.0,0,0
2026-08-11T10:00:21+00:00,150,0,0,0,0.0,0,0
2026-08-11T11:00:31+00:00,150,0,0,0,0.0,0,0
2026-08-11T12:00:41+00:00,150,0,0,0,0.0,0,0
2026-08-11T13:00:51+00:00,150,0,0,0,0.0,0,0
2026-08-11T14:00:05+00:00,150,0,0,0,0.0,0,0
2026-08-11T15:00:12+00:00,150,0,0,0,0.0,0,0
2026-08-11T16:00:23+00:00,150,0,0,0,0.0,0,0
2026-08-11T17:00:33+00:00,150,0,0,0,0.0,0,0
2026-08-11T18:00:44+00:00,150,0,0,0,0.0,0,0
2026-08-11T19:00:54+00:00,150,0,0,0,0.0,0,0
2026-08-11T20:00:05+00:00,150,0,0,0,0.0,0,0
2026-08-11T22:00:27+00:00,150,0,0,0,0.0,0,0
2026-08-11T23:00:37+00:00,150,0,0,0,0.0,0,0
2026-08-12T00:00:49+00:00,150,0,0,0,0.0,0,0
2026-08-12T01:00:59+00:00,150,0,0,0,0.0,0,0
2026-08-12T02:00:08+00:00,150,0,0,0,0.0,0,0
2026-08-12T03:00:16+00:00,150,0,0,0,0.0,0,0
2026-08-12T04:00:28+00:00,150,0,0,0,0.0,0,0
2026-08-12T05:00:38+00:00,150,0,0,0,0.0,0,0
2026-08-12T06:00:49+00:00,150,0,0,0,0.0,0,0
2026-08-12T07:01:00+00:00,150,0,0,0,0.0,0,0
2026-08-12T08:00:10+00:00,150,0,0,0,0.0,0,0
2026-08-12T09:00:19+00:00,150,0,0,0,0.0,0,0
2026-08-12T10:00:28+00:00,150,0,0,0,0.0,0,0
2026-08-12T11:00:39+00:00,150,0,0,0,0.0,0,0
2026-08-12T12:00:48+00:00,150,0,0,0,0.0,0,0
2026-08-12T13:00:59+00:00,150,0,0,0,0.0,0,0
2026-08-12T14:00:10+00:00,150,0,0,0,0.0,0,0
2026-08-12T15:00:21+00:00,150,0,0,0,0.0,0,0
2026-08-12T16:00:32+00:00,150,0,0,0,0.0,0,0
2026-08-12T17:00:42+00:00,150,0,0,0,0.0,0,0
