ts,n_bundles,n_with_tip,n_txs,p50_tip,p99_tip,max_tip,mean_tip,std_tip
2026-08-21T19:00:54+00:00,100,100,133,3556,6088042,6088042,176328.3,874904.6
2026-08-21T20:00:07+00:00,100,100,141,4505,1000000,1000000,26343.6,102553.8
2026-08-21T22:00:29+00:00,100,100,155,10000,12000000,12000000,333970.9,1701902.3
2026-08-21T23:00:42+00:00,100,100,128,9290,1000000,1000000,46818.6,153000.3
2026-08-22T00:00:54+00:00,100,100,133,7597,1000000,1000000,27463.8,103639.4
2026-08-22T01:00:04+00:00,100,100,118,1301,6125828,6125828,103281.3,660992.8
2026-08-22T02:00:15+00:00,100,100,127,5025,500000,500000,29773.7,84762.1
2026-08-22T03:00:26+00:00,100,100,136,3846,229788,229788,19605.8,43825.7
2026-08-22T04:00:12+00:00,100,100,121,5868,12787188,12787188,158678.7,1280284.3
2026-08-22T05:00:21+00:00,100,100,109,1000,2970000,2970000,61757.7,337907.8
2026-08-22T06:00:35+00:00,100,100,146,6000,1100000,1100000,35476.3,113491.0
2026-08-22T07:00:44+00:00,100,100,155,6807,7500000,7500000,162784.0,837800.2
2026-08-22T08:00:56+00:00,100,100,115,1064,5100000,5100000,80969.1,526698.5
2026-08-22T09:00:04+00:00,100,100,120,5042,1000000,1000000,43235.9,170598.1
2026-08-22T10:00:16+00:00,100,100,115,1024,1000000,1000000,40267.5,171409.0
2026-08-22T11:00:22+00:00,100,100,146,2712,5125806,5125806,83408.4,525807.5
2026-08-22T12:00:31+00:00,100,100,153,5510,20000000,20000000,475942.0,2693405.0
2026-08-22T13:00:45+00:00,100,100,115,1316,1000000,1000000,21167.0,106511.8
2026-08-22T14:01:01+00:00,100,100,132,2399,1000000,1000000,30163.0,117600.8
2026-08-22T15:00:04+00:00,100,100,121,4406,1500000,1500000,57738.3,209736.9
2026-08-22T16:00:14+00:00,100,100,139,2952,4000000,4000000,209212.9,722633.9
2026-08-22T17:00:34+00:00,100,100,138,5000,1500000,1500000,53357.8,205921.9
2026-08-22T18:00:40+00:00,100,100,169,5190,5000000,5000000,124555.7,556589.4
2026-08-22T19:00:53+00:00,100,100,127,2623,6106056,6106056,77340.2,610345.1
2026-08-22T20:00:04+00:00,100,100,139,1325,1500000,1500000,37296.9,175682.8
2026-08-22T22:00:28+00:00,100,100,141,1992,5009661,5009661,194760.4,731565.1
2026-08-22T23:00:41+00:00,100,100,122,5623,3039000,3039000,169181.0,663833.4
2026-08-23T00:00:52+00:00,100,100,126,2279,1500000,1500000,65006.1,203250.3
2026-08-23T01:00:04+00:00,100,100,127,2616,1000000,1000000,36933.4,134523.7
2026-08-23T02:00:16+00:00,100,100,127,7228,1000000,1000000,61734.3,173356.9
2026-08-23T03:00:28+00:00,100,100,105,27485,1500000,1500000,64624.9,162065.5
2026-08-23T04:00:04+00:00,100,100,126,2745,100000,100000,6968.5,13746.0
2026-08-23T05:00:15+00:00,100,100,116,5240,509393,509393,34403.9,82454.2
2026-08-23T06:00:28+00:00,100,100,112,1367,500000,500000,25334.0,96147.4
2026-08-23T07:00:40+00:00,100,100,117,4165,357447,357447,16421.3,52417.3
2026-08-23T08:00:50+00:00,100,100,126,2878,1500000,1500000,23816.9,150243.5
2026-08-23T09:00:59+00:00,100,100,126,5113,1000000,1000000,19541.2,100565.0
2026-08-23T10:00:16+00:00,100,100,152,4386,1500000,1500000,45279.9,182280.2
2026-08-23T11:00:28+00:00,100,100,135,3749,4000000,4000000,63748.7,407934.3
2026-08-23T12:00:42+00:00,100,100,133,2841,1000000,1000000,18167.3,100602.5
2026-08-23T13:00:51+00:00,100,100,125,1007,10000000,10000000,141075.6,1010522.7
2026-08-23T14:01:00+00:00,100,100,124,5000,1500000,1500000,30317.6,153906.8
2026-08-23T15:00:13+00:00,100,100,127,3282,10000001,10000001,171579.5,1021669.8
2026-08-23T16:00:22+00:00,100,100,120,5937,1000000,1000000,31649.1,111456.7
2026-08-23T17:00:35+00:00,100,100,133,5000,6130318,6130318,91043.0,620066.8
2026-08-23T18:00:48+00:00,100,100,154,4969,10000000,10000000,143076.6,1007236.5
2026-08-23T19:01:01+00:00,100,100,139,4261,6031414,6031414,140758.8,850147.6
2026-08-23T20:00:14+00:00,100,100,121,5601,1000000,1000000,39475.5,126249.1
