ts,pair,us_sym,chain_mid,us_price,dev_bps,us_ts,vol24h
2026-08-08T07:30:20+00:00,MSTRX/USDT,MSTR,100.66,100.01000213623047,64.5,08-07 00:00,328069
2026-08-08T07:30:20+00:00,SPYX/USDT,SPY,776.99,773.260009765625,48.2,08-07 00:00,454911
2026-08-08T08:00:24+00:00,MSTRX/USDT,MSTR,100.72,100.01000213623047,70.5,08-07 00:00,325005
2026-08-08T08:00:24+00:00,MCDX/USDT,MCD,276.37,274.4800109863281,68.9,08-07 00:00,61878
2026-08-08T08:00:24+00:00,SPYX/USDT,SPY,777.35,773.260009765625,52.8,08-07 00:00,452821
2026-08-08T08:00:24+00:00,GOOGLX/USDT,GOOGL,355.71,354.29998779296875,39.7,08-07 00:00,211717
2026-08-08T08:30:43+00:00,MSTRX/USDT,MSTR,100.75,100.01000213623047,74.5,08-07 00:00,304280
2026-08-08T08:30:43+00:00,MCDX/USDT,MCD,276.37,274.4800109863281,68.9,08-07 00:00,59703
2026-08-08T08:30:43+00:00,SPYX/USDT,SPY,776.89,773.260009765625,46.9,08-07 00:00,448754
2026-08-08T08:30:43+00:00,GOOGLX/USDT,GOOGL,355.75,354.29998779296875,40.9,08-07 00:00,210546
2026-08-08T09:00:30+00:00,MSTRX/USDT,MSTR,100.84,100.01000213623047,83.0,08-07 00:00,291040
2026-08-08T09:00:30+00:00,MCDX/USDT,MCD,276.2,274.4800109863281,62.8,08-07 00:00,59717
2026-08-08T09:00:30+00:00,GOOGLX/USDT,GOOGL,356.45,354.29998779296875,60.7,08-07 00:00,210338
2026-08-08T09:00:30+00:00,SPYX/USDT,SPY,777.21,773.260009765625,51.1,08-07 00:00,444928
2026-08-08T09:30:33+00:00,MSTRX/USDT,MSTR,100.94,100.01000213623047,92.5,08-07 00:00,300932
2026-08-08T09:30:33+00:00,MCDX/USDT,MCD,276.74,274.4800109863281,82.3,08-07 00:00,57225
2026-08-08T09:30:33+00:00,SPYX/USDT,SPY,777.81,773.260009765625,58.8,08-07 00:00,446850
2026-08-08T09:30:33+00:00,GOOGLX/USDT,GOOGL,356.35,354.29998779296875,57.9,08-07 00:00,210201
2026-08-08T10:00:41+00:00,MSTRX/USDT,MSTR,100.89,100.01000213623047,88.5,08-07 00:00,298011
2026-08-08T10:00:41+00:00,MCDX/USDT,MCD,276.74,274.4800109863281,82.3,08-07 00:00,55435
2026-08-08T10:00:41+00:00,SPYX/USDT,SPY,777.7,773.260009765625,57.5,08-07 00:00,442796
2026-08-08T10:00:41+00:00,GOOGLX/USDT,GOOGL,356.15,354.29998779296875,52.4,08-07 00:00,212917
2026-08-08T10:00:41+00:00,TSLAX/USDT,TSLA,329.59,328.5799865722656,30.7,08-07 00:00,213175
2026-08-08T10:30:47+00:00,MCDX/USDT,MCD,277.47,274.4800109863281,108.9,08-07 00:00,51922
2026-08-08T10:30:47+00:00,MSTRX/USDT,MSTR,100.94,100.01000213623047,93.5,08-07 00:00,295396
2026-08-08T10:30:47+00:00,SPYX/USDT,SPY,777.43,773.260009765625,53.9,08-07 00:00,436674
2026-08-08T10:30:47+00:00,GOOGLX/USDT,GOOGL,356.19,354.29998779296875,53.2,08-07 00:00,212847
2026-08-08T10:30:47+00:00,TSLAX/USDT,TSLA,329.61,328.5799865722656,31.2,08-07 00:00,209546
2026-08-08T11:00:51+00:00,MCDX/USDT,MCD,277.4,274.4800109863281,106.6,08-07 00:00,43638
2026-08-08T11:00:51+00:00,MSTRX/USDT,MSTR,100.92,100.01000213623047,91.0,08-07 00:00,294281
2026-08-08T11:00:51+00:00,GOOGLX/USDT,GOOGL,356.14,354.29998779296875,52.1,08-07 00:00,212949
2026-08-08T11:00:51+00:00,SPYX/USDT,SPY,777.16,773.260009765625,50.4,08-07 00:00,432550
2026-08-08T11:00:51+00:00,TSLAX/USDT,TSLA,329.6,328.5799865722656,31.0,08-07 00:00,208836
2026-08-08T11:30:56+00:00,MCDX/USDT,MCD,277.47,274.4800109863281,108.9,08-07 00:00,42398
2026-08-08T11:30:56+00:00,MSTRX/USDT,MSTR,101.09,100.01000213623047,108.0,08-07 00:00,292353
2026-08-08T11:30:56+00:00,SPYX/USDT,SPY,777.34,773.260009765625,52.7,08-07 00:00,427293
2026-08-08T11:30:56+00:00,GOOGLX/USDT,GOOGL,355.77,354.29998779296875,41.6,08-07 00:00,214305
2026-08-08T11:30:56+00:00,TSLAX/USDT,TSLA,329.63,328.5799865722656,32.0,08-07 00:00,204973
2026-08-08T12:01:01+00:00,MSTRX/USDT,MSTR,101.15,100.01000213623047,113.5,08-07 00:00,289602
2026-08-08T12:01:01+00:00,MCDX/USDT,MCD,276.66,274.4800109863281,79.4,08-07 00:00,42003
2026-08-08T12:01:01+00:00,SPYX/USDT,SPY,777.86,773.260009765625,59.5,08-07 00:00,424940
2026-08-08T12:01:01+00:00,GOOGLX/USDT,GOOGL,355.89,354.29998779296875,45.0,08-07 00:00,213965
2026-08-08T12:01:01+00:00,TSLAX/USDT,TSLA,329.61,328.5799865722656,31.2,08-07 00:00,201222
2026-08-08T12:31:05+00:00,MSTRX/USDT,MSTR,101.37,100.01000213623047,136.0,08-07 00:00,285379
2026-08-08T12:31:05+00:00,MCDX/USDT,MCD,276.66,274.4800109863281,79.4,08-07 00:00,41293
2026-08-08T12:31:05+00:00,SPYX/USDT,SPY,777.19,773.260009765625,50.8,08-07 00:00,423707
2026-08-08T12:31:05+00:00,GOOGLX/USDT,GOOGL,356.06,354.29998779296875,49.8,08-07 00:00,213271
2026-08-08T13:01:09+00:00,MSTRX/USDT,MSTR,101.48,100.01000213623047,147.5,08-07 00:00,281625
2026-08-08T13:01:09+00:00,MCDX/USDT,MCD,276.66,274.4800109863281,79.4,08-07 00:00,39799
2026-08-08T13:01:09+00:00,SPYX/USDT,SPY,777.11,773.260009765625,49.8,08-07 00:00,418585
2026-08-08T13:01:09+00:00,GOOGLX/USDT,GOOGL,355.71,354.29998779296875,39.7,08-07 00:00,211930
