dex,name,mark,oracle,funding,oi,is_stock
cash,cash:BTC,70000.0,70000.0,0.0,0.0,False
cash,cash:KWEB,24.422,26.47805,0.0,0.0,False
cash,cash:ETH,2184.0,2184.0,0.0,0.0,False
cash,cash:CAR,150.83,162.6652,0.0,0.0,False
para,para:TOTAL2,1032.882,1039.923,-0.0003373679,857.134,True
para,para:OTHERS,183.0746,183.9052,-0.0001233512,5698.84,True
para,para:BTCD,59.81098,59.62705,0.0002209222,10902.4,True
para,para:H100,2.56,2.56,0.0,0.0,True
para,para:AVGO,368.1,367.31,0.0002069393,3439.42,True
para,para:COHR,279.1937,279.2163,3.71282e-05,4426.3,False
para,para:GLW,149.4406,149.8092,-0.0001176206,3657.68,False
para,para:CRDO,229.2041,229.2453,-1.05741e-05,318.64,False
para,para:LRCX,311.9573,311.9573,5.61567e-05,738.56,True
para,para:NET,294.29,294.29,0.0011669365,487.2,True
para,para:STX,844.33,843.01,0.0003520668,166.536,False
para,para:IREN,40.9231,40.764,0.0001874896,17835.76,True
para,para:VST,137.98,137.98,0.0005523038,11469.42,False
para,para:TER,377.28,378.72,7.09696e-05,274.56,False
para,para:AAOI,110.9373,110.1877,0.0013940655,2772.1,False
para,para:10Y,4.735,4.734,0.0002628446,6048.8,False
para,para:CIEN,391.482,391.482,-0.0001504663,54.04,False
para,para:NAVER,146.0,146.0,0.0,0.0,False
para,para:RDDT,153.9,153.2419,0.0008953955,1234.36,False
para,para:UNITREE,96.6347,96.9087,-0.0002294792,31337.34,False
para,para:CRWD,191.3325,190.5291,0.0005995918,499.66,False
para,para:TENCENT,61.0,61.0,0.0,0.0,False
para,para:CAMBRICON,178.0,178.0,0.0,0.0,False
para,para:MELI,1838.0,1838.0,0.0,0.0,False
para,para:SMCI,37.2905,37.2144,0.0006405218,2108.58,False
para,para:ANSEM,0.236,0.236,0.0,0.0,False
para,para:INNOLIGHT,157.0,157.0,0.0,0.0,False
para,para:30Y,5.248,5.248,0.0,0.0,False
mkts,mkts:US500,764.83,764.66,5.7078e-06,1663.462,True
mkts,mkts:BABA,116.54,116.54,0.0,0.0,True
mkts,mkts:EUR,1.1612,1.1612,0.0,0.0,True
mkts,mkts:USBOND,86.038,86.038,0.0,0.0,True
mkts,mkts:SMALL2000,292.75,292.75,0.0,0.0,True
mkts,mkts:USTECH,712.69,712.31,1.54842e-05,3240.32,True
mkts,mkts:USENERGY,58.247,58.247,0.0,0.0,True
mkts,mkts:USOIL,114.1,114.1,0.0,0.0,True
mkts,mkts:TSLA,386.5,386.5,0.0,0.0,True
mkts,mkts:SILVER,70.451,70.451,0.0,0.0,True
mkts,mkts:GOLD,4348.8,4348.8,0.0,0.0,True
mkts,mkts:AAPL,292.11,292.11,0.0,0.0,True
mkts,mkts:GOOGL,358.55,358.55,0.0,0.0,True
mkts,mkts:SEMI,543.11,543.11,0.0,0.0,False
mkts,mkts:GLDMINE,73.889,73.889,0.0,0.0,False
mkts,mkts:NVDA,211.07,211.07,0.0,0.0,True
mkts,mkts:TENCENT,465.0,465.0,0.0,0.0,False
mkts,mkts:JPN225,56942.0,56942.0,0.0,0.0,False
mkts,mkts:MU,1080.7,1080.7,0.0,0.0,False
mkts,mkts:PLTR,130.51,130.51,0.0,0.0,True
mkts,mkts:XIAOMI,26.311,26.311,0.0,0.0,False
mkts,mkts:BMNR,15.749,15.749,0.0,0.0,False
mkts,mkts:RTX,181.52,181.52,0.0,0.0,False
io,io:OAI,1250.0,1250.0,0.0,0.0,True
io,io:ANTH,1906.8,1905.9,1.56e-08,351.478,True
io,io:SNDK,1594.4,1594.5,1.5625e-06,684.9122,True
